campaign,b,alpha,n_cells,fixed_point,cycle,max_iters,median_iters,fixed_point_rate,cycle_rate,max_iters_rate
damping,0.01,0.05,16,1,3,12,240,0.0625,0.1875,0.75
damping,0.01,0.1,16,1,12,3,110,0.0625,0.75,0.1875
damping,0.01,0.15,16,1,14,1,89,0.0625,0.875,0.0625
damping,0.01,0.2,16,1,15,0,73,0.0625,0.9375,0
damping,0.01,0.25,16,1,14,1,48,0.0625,0.875,0.0625
damping,0.01,0.35,16,1,15,0,32.5,0.0625,0.9375,0
damping,0.01,0.5,16,1,15,0,18.5,0.0625,0.9375,0
damping,0.01,0.75,16,1,15,0,12,0.0625,0.9375,0
damping,0.01,1,16,1,15,0,4,0.0625,0.9375,0
damping,0.05,0.05,16,0,0,16,240,0,0,1
damping,0.05,0.1,16,0,2,14,240,0,0.125,0.875
damping,0.05,0.15,16,0,12,4,161,0,0.75,0.25
damping,0.05,0.2,16,0,12,4,94.5,0,0.75,0.25
damping,0.05,0.25,16,0,15,1,76.5,0,0.9375,0.0625
damping,0.05,0.35,16,0,16,0,63,0,1,0
damping,0.05,0.5,16,0,16,0,35,0,1,0
damping,0.05,0.75,16,0,16,0,16.5,0,1,0
damping,0.05,1,16,0,16,0,4,0,1,0
phase1,0,0.1,8,8,0,0,1,1,0,0
phase1,0,0.25,8,8,0,0,1,1,0,0
phase1,0,0.5,8,8,0,0,1,1,0,0
phase1,0,1,8,8,0,0,1,1,0,0
phase1,0.002,0.1,8,6,2,0,40.5,0.75,0.25,0
phase1,0.002,0.25,8,5,3,0,19,0.625,0.375,0
phase1,0.002,0.5,8,5,3,0,10,0.625,0.375,0
phase1,0.002,1,8,5,3,0,2,0.625,0.375,0
phase1,0.01,0.1,8,1,4,3,92,0.125,0.5,0.375
phase1,0.01,0.25,8,1,7,0,35,0.125,0.875,0
phase1,0.01,0.5,8,1,7,0,17.5,0.125,0.875,0
phase1,0.01,1,8,1,7,0,4,0.125,0.875,0
phase1,0.05,0.1,8,0,2,6,120,0,0.25,0.75
phase1,0.05,0.25,8,0,7,1,54.5,0,0.875,0.125
phase1,0.05,0.5,8,0,8,0,28,0,1,0
phase1,0.05,1,8,0,8,0,4,0,1,0
