campaign,b,alpha,seed,n_trips,cycle_length,cycle_first_seen,iters_run
damping,0.01,0.05,4,12,62,145,208
damping,0.01,0.05,7,12,32,146,179
damping,0.01,0.05,13,12,26,136,163
damping,0.01,0.1,0,12,26,152,179
damping,0.01,0.1,3,12,10,88,99
damping,0.01,0.1,4,12,87,70,158
damping,0.01,0.1,5,12,17,86,104
damping,0.01,0.1,7,12,32,73,106
damping,0.01,0.1,8,12,16,74,91
damping,0.01,0.1,9,12,74,79,154
damping,0.01,0.1,10,12,53,98,152
damping,0.01,0.1,12,12,14,70,85
damping,0.01,0.1,13,12,11,67,79
damping,0.01,0.1,14,12,22,81,104
damping,0.01,0.1,15,12,41,72,114
damping,0.01,0.15,0,12,55,48,104
damping,0.01,0.15,1,12,99,48,148
damping,0.01,0.15,3,12,45,46,92
damping,0.01,0.15,4,12,50,52,103
damping,0.01,0.15,5,12,38,73,112
damping,0.01,0.15,6,12,36,49,86
damping,0.01,0.15,7,12,23,48,72
damping,0.01,0.15,8,12,11,47,59
damping,0.01,0.15,9,12,21,49,71
damping,0.01,0.15,10,12,18,51,70
damping,0.01,0.15,12,12,24,67,92
damping,0.01,0.15,13,12,11,44,56
damping,0.01,0.15,14,12,52,83,136
damping,0.01,0.15,15,12,29,47,77
damping,0.01,0.2,0,12,41,62,104
damping,0.01,0.2,1,12,53,39,93
damping,0.01,0.2,2,12,140,50,191
damping,0.01,0.2,3,12,40,34,75
damping,0.01,0.2,4,12,34,35,70
damping,0.01,0.2,5,12,41,36,78
damping,0.01,0.2,6,12,77,36,114
damping,0.01,0.2,7,12,11,35,47
damping,0.01,0.2,8,12,21,36,58
damping,0.01,0.2,9,12,33,37,71
damping,0.01,0.2,10,12,7,36,44
damping,0.01,0.2,12,12,11,34,46
damping,0.01,0.2,13,12,11,33,45
damping,0.01,0.2,14,12,60,37,98
damping,0.01,0.2,15,12,23,58,82
damping,0.01,0.25,0,12,12,27,40
damping,0.01,0.25,1,12,19,40,60
damping,0.01,0.25,2,12,8,28,37
damping,0.01,0.25,3,12,42,26,69
damping,0.01,0.25,4,12,23,28,52
damping,0.01,0.25,5,12,21,27,49
damping,0.01,0.25,7,12,4,44,49
damping,0.01,0.25,8,12,7,36,44
damping,0.01,0.25,9,12,6,28,35
damping,0.01,0.25,10,12,7,35,43
damping,0.01,0.25,12,12,13,27,41
damping,0.01,0.25,13,12,18,29,48
damping,0.01,0.25,14,12,16,31,48
damping,0.01,0.25,15,12,64,27,92
damping,0.01,0.35,0,12,12,19,32
damping,0.01,0.35,1,12,18,25,44
damping,0.01,0.35,2,12,4,21,26
damping,0.01,0.35,3,12,30,18,49
damping,0.01,0.35,4,12,8,18,27
damping,0.01,0.35,5,12,31,21,53
damping,0.01,0.35,6,12,6,19,26
damping,0.01,0.35,7,12,5,27,33
damping,0.01,0.35,8,12,14,19,34
damping,0.01,0.35,9,12,9,29,39
damping,0.01,0.35,10,12,10,40,51
damping,0.01,0.35,12,12,8,19,28
damping,0.01,0.35,13,12,18,18,37
damping,0.01,0.35,14,12,3,20,24
damping,0.01,0.35,15,12,11,18,30
damping,0.01,0.5,0,12,15,12,28
damping,0.01,0.5,1,12,5,13,19
damping,0.01,0.5,2,12,13,30,44
damping,0.01,0.5,3,12,10,11,22
damping,0.01,0.5,4,12,4,21,26
damping,0.01,0.5,5,12,12,23,36
damping,0.01,0.5,6,12,6,12,19
damping,0.01,0.5,7,12,5,12,18
damping,0.01,0.5,8,12,4,12,17
damping,0.01,0.5,9,12,3,12,16
damping,0.01,0.5,10,12,3,12,16
damping,0.01,0.5,12,12,2,11,14
damping,0.01,0.5,13,12,4,13,18
damping,0.01,0.5,14,12,3,13,17
damping,0.01,0.5,15,12,10,13,24
damping,0.01,0.75,0,12,6,7,14
damping,0.01,0.75,1,12,4,7,12
damping,0.01,0.75,2,12,3,7,11
damping,0.01,0.75,3,12,4,9,14
damping,0.01,0.75,4,12,6,9,16
damping,0.01,0.75,5,12,4,7,12
damping,0.01,0.75,6,12,2,6,9
damping,0.01,0.75,7,12,6,6,13
damping,0.01,0.75,8,12,2,7,10
damping,0.01,0.75,9,12,4,7,12
damping,0.01,0.75,10,12,4,8,13
damping,0.01,0.75,12,12,4,6,11
damping,0.01,0.75,13,12,4,6,11
damping,0.01,0.75,14,12,3,8,12
damping,0.01,0.75,15,12,4,7,12
damping,0.01,1,0,12,2,2,5
damping,0.01,1,1,12,2,1,4
damping,0.01,1,2,12,2,1,4
damping,0.01,1,3,12,2,1,4
damping,0.01,1,4,12,2,1,4
damping,0.01,1,5,12,2,1,4
damping,0.01,1,6,12,2,1,4
damping,0.01,1,7,12,2,1,4
damping,0.01,1,8,12,2,1,4
damping,0.01,1,9,12,2,4,7
damping,0.01,1,10,12,2,1,4
damping,0.01,1,12,12,2,2,5
damping,0.01,1,13,12,2,1,4
damping,0.01,1,14,12,2,1,4
damping,0.01,1,15,12,2,1,4
