campaign,cell,seed,n_trips,shape,b,alpha,outcome,cycle_length,cycle_first_seen,iters_run,final_price_residual
damping,s0_n12_duck_b0.01_a0.05,0,12,duck,0.01,0.05,max_iters,,,240,0.00289788341
damping,s1_n12_duck_b0.01_a0.05,1,12,duck,0.01,0.05,max_iters,,,240,0.0164220623
damping,s2_n12_duck_b0.01_a0.05,2,12,duck,0.01,0.05,max_iters,,,240,0.01598968218
damping,s3_n12_duck_b0.01_a0.05,3,12,duck,0.01,0.05,max_iters,,,240,0.006450998065
damping,s4_n12_duck_b0.01_a0.05,4,12,duck,0.01,0.05,cycle,62,145,208,0.00899649192
damping,s5_n12_duck_b0.01_a0.05,5,12,duck,0.01,0.05,max_iters,,,240,0.01218421853
damping,s6_n12_duck_b0.01_a0.05,6,12,duck,0.01,0.05,max_iters,,,240,0.01633904417
damping,s7_n12_duck_b0.01_a0.05,7,12,duck,0.01,0.05,cycle,32,146,179,0.00698391018
damping,s8_n12_duck_b0.01_a0.05,8,12,duck,0.01,0.05,max_iters,,,240,0.01016044125
damping,s9_n12_duck_b0.01_a0.05,9,12,duck,0.01,0.05,max_iters,,,240,0.03379462521
damping,s10_n12_duck_b0.01_a0.05,10,12,duck,0.01,0.05,max_iters,,,240,0.01268578024
damping,s11_n12_duck_b0.01_a0.05,11,12,duck,0.01,0.05,fixed_point,,,97,9.958435683e-05
damping,s12_n12_duck_b0.01_a0.05,12,12,duck,0.01,0.05,max_iters,,,240,0.007371049942
damping,s13_n12_duck_b0.01_a0.05,13,12,duck,0.01,0.05,cycle,26,136,163,0.01034158843
damping,s14_n12_duck_b0.01_a0.05,14,12,duck,0.01,0.05,max_iters,,,240,0.03068583514
damping,s15_n12_duck_b0.01_a0.05,15,12,duck,0.01,0.05,max_iters,,,240,0.01181916245
damping,s0_n12_duck_b0.01_a0.1,0,12,duck,0.01,0.1,cycle,26,152,179,0.02775110118
damping,s1_n12_duck_b0.01_a0.1,1,12,duck,0.01,0.1,max_iters,,,240,0.03288872804
damping,s2_n12_duck_b0.01_a0.1,2,12,duck,0.01,0.1,max_iters,,,240,0.03326315789
damping,s3_n12_duck_b0.01_a0.1,3,12,duck,0.01,0.1,cycle,10,88,99,0.0140511985
