seed,n_trips,b,dictator,strategic,taker,uncontrolled,gap_uncontrolled_minus_dictator,gap_taker_minus_dictator,gap_strategic_minus_dictator
0,8,0,3113.383524,3113.383524,3113.383524,3115.586812,2.203288153,0,0
1,8,0,3087.901555,3087.901555,3087.901555,3093.223426,5.321870777,0,0
2,8,0,3130.014358,3130.014358,3130.014358,3151.661844,21.64748534,0,0
3,8,0,3111.600554,3111.600554,3111.600554,3111.600554,0,0,0
0,12,0,3228.702136,3228.702136,3228.702136,3238.329527,9.627391463,0,0
1,12,0,3231.273192,3231.273192,3231.273192,3293.451484,62.17829176,0,0
2,12,0,2263.39032,2263.39032,2263.39032,2304.426152,41.03583237,0,0
3,12,0,4175.708348,4175.708348,4175.708348,4211.45462,35.74627252,0,0
0,8,0.002,3117.045774,3117.16821,3117.045774,3119.249062,2.203288153,0,0.1224355141
1,8,0.002,3088.448595,3088.448595,3088.448595,3093.770466,5.321870777,0,0
2,8,0.002,3133.381918,3133.381918,3133.381918,3155.029404,21.64748534,0,0
3,8,0.002,3114.891764,3114.891764,3114.891764,3114.891764,0,0,0
0,12,0.002,3241.756706,3241.756706,3241.756946,3251.384097,9.627391463,0.0002399999998,0
1,12,0.002,3244.689235,3244.895934,3245.015082,3305.163294,60.47405898,0.3258472181,0.2066989941
2,12,0.002,2283.12686,2283.355031,2283.42801,2321.430622,38.30376167,0.3011493072,0.2281708777
3,12,0.002,4183.236548,4183.409656,4183.236548,4228.571198,45.33465004,0,0.1731082737
0,8,0.01,3130.61638,3130.651177,3131.694774,3133.898062,3.281682707,1.078394554,0.03479691797
1,8,0.01,3090.636755,3090.656374,3090.636755,3095.958626,5.321870777,0,0.01961918156
2,8,0.01,3146.797986,3147.102276,3146.852158,3168.499644,21.70165789,0.05417254755,0.3042900483
3,8,0.01,3128.013684,3128.290791,3128.056579,3128.056604,0.04292012917,0.04289488246,0.2771065789
0,12,0.01,3293.469549,3294.360175,3293.976186,3303.602377,10.13282811,0.5066366432,0.8906260584
1,12,0.01,3291.813757,3292.801144,3299.982642,3352.010534,60.19677646,8.168884702,0.9873872594
2,12,0.01,2355.250175,2356.500199,2363.57877,2389.448502,34.19832702,8.328594656,1.250024335
3,12,0.01,4211.902241,4212.657587,4213.349348,4258.625678,46.72343707,1.447107024,0.7553458644
0,8,0.05,3176.599765,3176.660809,3177.929598,3207.143062,30.54329685,1.329832195,0.06104392606
1,8,0.05,3101.356057,3101.364018,3101.577555,3106.899426,5.543369051,0.2214982737,0.007961153281
2,8,0.05,3183.304293,3183.361116,3183.647134,3235.850844,52.5465506,0.342841043,0.0568232805
3,8,0.05,3186.063362,3186.420919,3193.880775,3193.880804,7.817442565,7.817413198,0.3575570567
0,12,0.05,3532.422647,3532.609421,3555.072386,3564.693777,32.27113062,22.64973916,0.186774045
1,12,0.05,3503.675186,3506.215867,3574.820442,3586.246734,82.57154719,71.14525544,2.540680552
2,12,0.05,2684.52522,2688.26404,2764.33257,2729.537902,45.01268205,79.80734969,3.738819648
3,12,0.05,4338.715205,4340.70147,4363.163039,4408.898078,70.18287331,24.44783456,1.986264955
