cell,seed,n_trips,slot,n_switches,n_economic,degenerate_tie,charging_only,duty_change,fleet_change
s0_n8_slot8,0,8,8,0,0,0,0,0,0
s0_n8_slot12,0,8,12,47,2,45,1,1,0
s0_n8_slot16,0,8,16,0,0,0,0,0,0
s0_n8_slot20,0,8,20,0,0,0,0,0,0
s1_n8_slot8,1,8,8,1,1,0,1,0,0
s1_n8_slot12,1,8,12,57,3,54,1,2,0
s1_n8_slot16,1,8,16,28,1,27,0,1,0
s1_n8_slot20,1,8,20,0,0,0,0,0,0
s2_n8_slot8,2,8,8,34,1,33,0,1,0
s2_n8_slot12,2,8,12,56,3,53,0,3,0
s2_n8_slot16,2,8,16,17,2,15,0,2,0
s2_n8_slot20,2,8,20,46,0,46,0,0,0
s3_n8_slot8,3,8,8,2,0,2,0,0,0
s3_n8_slot12,3,8,12,93,1,91,0,2,0
s3_n8_slot16,3,8,16,52,1,50,1,1,0
s3_n8_slot20,3,8,20,0,0,0,0,0,0
s4_n8_slot8,4,8,8,0,0,0,0,0,0
s4_n8_slot12,4,8,12,38,2,35,1,2,0
s4_n8_slot16,4,8,16,1,0,0,0,1,0
s4_n8_slot20,4,8,20,0,0,0,0,0,0
s5_n8_slot8,5,8,8,0,0,0,0,0,0
s5_n8_slot12,5,8,12,29,0,28,0,1,0
s5_n8_slot16,5,8,16,2,2,0,1,1,0
s5_n8_slot20,5,8,20,2,2,0,1,1,0
s6_n8_slot8,6,8,8,6,2,4,0,2,0
s6_n8_slot12,6,8,12,81,0,79,0,2,0
s6_n8_slot16,6,8,16,81,3,78,1,2,0
s6_n8_slot20,6,8,20,0,0,0,0,0,0
s7_n8_slot8,7,8,8,3,3,0,1,2,0
s7_n8_slot12,7,8,12,4,3,1,2,1,0
s7_n8_slot16,7,8,16,4,1,2,0,2,0
s7_n8_slot20,7,8,20,0,0,0,0,0,0
s0_n12_slot8,0,12,8,25,0,0,0,25,0
s0_n12_slot12,0,12,12,90,1,86,1,3,0
s0_n12_slot16,0,12,16,46,1,6,0,40,0
s0_n12_slot20,0,12,20,0,0,0,0,0,0
s1_n12_slot8,1,12,8,205,2,202,0,3,0
s1_n12_slot12,1,12,12,146,2,142,1,3,0
s1_n12_slot16,1,12,16,173,1,171,0,2,0
s1_n12_slot20,1,12,20,0,0,0,0,0,0
s2_n12_slot8,2,12,8,3,3,0,2,1,0
s2_n12_slot12,2,12,12,3,3,0,2,1,0
s2_n12_slot16,2,12,16,9,1,6,1,2,0
s2_n12_slot20,2,12,20,12,2,10,1,1,0
s3_n12_slot8,3,12,8,1,1,0,1,0,0
s3_n12_slot12,3,12,12,92,2,89,1,2,0
s3_n12_slot16,3,12,16,33,3,30,0,3,0
s3_n12_slot20,3,12,20,0,0,0,0,0,0
s4_n12_slot8,4,12,8,119,3,116,1,2,0
s4_n12_slot12,4,12,12,199,4,194,0,5,0
s4_n12_slot16,4,12,16,116,3,113,0,3,0
s4_n12_slot20,4,12,20,109,2,107,1,1,0
s5_n12_slot8,5,12,8,66,0,65,0,1,0
s5_n12_slot12,5,12,12,158,2,155,1,2,0
s5_n12_slot16,5,12,16,41,4,37,1,3,0
s5_n12_slot20,5,12,20,162,2,158,0,4,0
s6_n12_slot8,6,12,8,1,1,0,1,0,0
s6_n12_slot12,6,12,12,60,1,58,1,1,0
s6_n12_slot16,6,12,16,32,6,26,4,2,0
s6_n12_slot20,6,12,20,42,2,39,2,1,0
s7_n12_slot8,7,12,8,34,1,33,0,1,0
s7_n12_slot12,7,12,12,59,3,56,1,2,0
s7_n12_slot16,7,12,16,20,3,17,1,2,0
s7_n12_slot20,7,12,20,0,0,0,0,0,0
