lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
3130.61539359,3130.61637994,0.0109860286821,a2,0,8,0.01,certified,True,0.000986352539712,18,18,0,17,0,0,13.0070214272,0,13.0070214272,6.1201543808,69.096272,2.273736,18,-0.0100003238581,0.000986028681837,3130.61637962,0.01,0.01,240,GRB,unknown,d89c672
3090.63675529,3090.63675529,0.0100000000002,a2,1,8,0.01,certified,True,0,12,12,0,11,0,0,4.14680314064,0,4.14680314064,1.58722758293,56.0457517529,2.27373578176,12,-0.0100000000002,0,3090.63675529,0.01,0.01,240,GRB,1.17.6,84a5ead
3146.50460517,3146.50557686,0.303380449515,a2,2,8,0.01,certified,True,0.000971685791228,26,26,0,25,0,0,27.3825337887,0,27.3825337887,10.4776539803,72.3379410482,2.27373578176,26,0.282408763723,0.293380449515,3146.79798562,0.01,0.01,240,GRB,1.17.6,84a5ead
3128.01307633,3128.01349828,0.0106079902334,a2,3,8,0.01,certified,True,0.00042195226888,25,25,0,24,0,0,25.4853572845,0,25.4853572845,7.04981780052,102.572885133,3.81786485063,25,-0.00981396203588,0.00060799023322,3128.01368432,0.01,0.01,240,GRB,1.17.6,84a5ead
2176.93296032,2176.93347362,0.0110893932133,a2,4,8,0.01,certified,True,0.000513305664299,33,33,0,32,0,0,25.5359463692,0,25.5359463692,6.28150963783,95.6041367459,2.27373578176,33,-0.00942391245144,0.00108939321308,2176.93404971,0.01,0.01,240,GRB,1.17.6,84a5ead
2214.96912998,2214.96963623,0.0106870856257,a2,5,8,0.01,certified,True,0.000506250000399,14,14,0,13,0,0,4.74072504044,0,4.74072504044,3.26967787743,63.3465499366,2.27373578176,14,-0.00981916437513,0.000687085625486,2214.96981707,0.01,0.01,240,GRB,1.17.6,84a5ead
2153.79420442,2153.79434815,0.0101260990432,a2,6,8,0.01,certified,True,0.000143725585986,22,22,0,21,0,0,14.7074432373,0,14.7074432373,7.27420306206,84.6752695379,2.27373578176,22,-0.0100176265432,0.000126099042973,2153.79433052,0.01,0.01,240,GRB,1.17.6,84a5ead
2155.99959399,2156.00004452,0.147207977372,a2,7,8,0.01,certified,True,0.000450534123956,22,22,0,21,0,0,9.17539644241,0,9.17539644241,2.5391266346,77.4651431579,2.27373578176,22,0.126757443247,0.137207977371,2156.13680197,0.01,0.01,240,GRB,1.17.6,84a5ead
2148.84433835,2148.84528292,1.77860725093,a2,8,8,0.01,certified,True,0.000944576722304,27,27,0,26,0,0,14.2633070946,0,14.2633070946,4.96201395988,81.4270777033,2.37465915967,27,1.75766267421,1.76860725093,2150.6129456,0.01,0.01,240,GRB,1.17.6,84a5ead
2173.58694474,2173.58752825,0.0109844794874,a2,9,8,0.01,certified,True,0.000583508301133,36,36,0,35,0,0,33.0628306866,0,33.0628306866,7.74826622009,126.268287983,2.27373578176,36,-0.00959902881414,0.000984479487215,2173.58792922,0.01,0.01,240,GRB,1.17.6,84a5ead
