seed,n_trips,b,method,a2_calls,method_calls,calls_diff,calls_ratio,a2_clean_calls,method_clean_calls,method_stab_calls,clean_calls_diff,clean_result_vs_a2,a2_solver_wall_s,method_solver_wall_s,wall_diff_s,wall_ratio,calls_result_vs_a2,both_certified
0,8,0.01,a3,18,34,16,1.88888888889,18,18,16,0,tie,13.0070214272,20.9157423973,7.90872097015,1.60803474604,loss,True
1,8,0.01,a3,12,20,8,1.66666666667,12,11,9,-1,win,4.14680314064,9.26482462883,5.11802148819,2.23420893508,loss,True
2,8,0.01,a3,26,46,20,1.76923076923,26,24,22,-2,win,27.3825337887,45.2467381954,17.8642044067,1.6523941336,loss,True
3,8,0.01,a3,25,46,21,1.84,25,24,22,-1,win,25.4853572845,57.1257801056,31.640422821,2.24151380213,loss,True
4,8,0.01,a3,33,62,29,1.87878787879,33,32,30,-1,win,25.5359463692,57.9586625099,32.4227161407,2.26968923227,loss,True
5,8,0.01,a3,14,20,6,1.42857142857,14,11,9,-3,win,4.74072504044,7.77177786827,3.03105282784,1.63936482331,loss,True
6,8,0.01,a3,22,34,12,1.54545454545,22,18,16,-4,win,14.7074432373,23.9684882164,9.2610449791,1.62968422381,loss,True
7,8,0.01,a3,22,24,2,1.09090909091,22,13,11,-9,win,9.17539644241,12.6125104427,3.43711400032,1.3746011436,loss,True
8,8,0.01,a3,27,50,23,1.85185185185,27,26,24,-1,win,14.2633070946,21.5660419464,7.30273485184,1.51199450474,loss,True
9,8,0.01,a3,36,50,14,1.38888888889,36,26,24,-10,win,33.0628306866,40.2554349899,7.19260430336,1.21754351197,loss,True
10,8,0.01,a3,16,18,2,1.125,16,10,8,-6,win,5.32886362076,5.28567481041,-0.0431888103485,0.99189530575,loss,True
11,8,0.01,a3,16,26,10,1.625,16,14,12,-2,win,9.47176337242,10.6824142933,1.21065092087,1.12781684606,loss,True
12,8,0.01,a3,22,30,8,1.36363636364,22,16,14,-6,win,12.9091091156,18.5086607933,5.5995516777,1.43376747594,loss,True
13,8,0.01,a3,2,2,0,1,2,2,0,0,tie,0.277843236923,0.22350025177,-0.0543429851532,0.804411344487,tie,True
14,8,0.01,a3,23,42,19,1.82608695652,23,22,20,-1,win,10.1030035019,22.14189291,12.0388894081,2.19161489015,loss,True
15,8,0.01,a3,30,62,32,2.06666666667,30,32,30,2,loss,32.7302496433,37.6598095894,4.92955994606,1.15061174295,loss,True
0,12,0.01,a3,17,18,1,1.05882352941,17,10,8,-7,win,114.19382,85.6615781784,-28.5322418213,0.750141979475,loss,True
1,12,0.01,a3,26,32,6,1.23076923077,26,17,15,-9,win,1490.62140036,2191.64238048,701.02098012,1.47028774708,loss,True
2,12,0.01,a3,26,30,4,1.15384615385,26,16,14,-10,win,50.8911151886,49.741984129,-1.14913105965,0.977419809816,loss,True
3,12,0.01,a3,24,44,20,1.83333333333,24,23,21,-1,win,1940.80804825,4525.08235955,2584.2743113,2.33154554549,loss,True
4,12,0.01,a3,34,48,14,1.41176470588,34,25,23,-9,win,3071.9425981,4548.54277468,1476.60017657,1.4806731016,loss,True
5,12,0.01,a3,28,18,-10,0.642857142857,28,10,8,-18,win,965.755172014,912.875992298,-52.8791797161,0.945245771135,win,True
6,12,0.01,a3,35,58,23,1.65714285714,35,30,28,-5,win,74.7818827629,144.623975992,69.8420932293,1.93394403362,loss,True
7,12,0.01,a3,29,64,35,2.20689655172,29,33,31,4,loss,810.009561777,2428.67033315,1618.66077137,2.99832304179,loss,True
8,12,0.01,a3,19,48,29,2.52631578947,19,25,23,6,loss,125.686536789,258.068016529,132.38147974,2.05326698565,loss,True
9,12,0.01,a3,28,22,-6,0.785714285714,28,12,10,-16,win,60.0492258072,37.80189538,-22.2473304272,0.629515116505,win,True
10,12,0.01,a3,31,76,45,2.45161290323,31,39,37,8,loss,1374.62927556,3308.1132319,1933.48395634,2.40654938078,loss,True
11,12,0.01,a3,29,56,27,1.93103448276,29,29,27,0,tie,333.51213932,539.359652519,205.847513199,1.61721145629,loss,True
12,12,0.01,a3,35,54,19,1.54285714286,35,28,26,-7,win,683.678983927,1086.16620612,402.487222195,1.58870790482,loss,True
13,12,0.01,a3,25,50,25,2,25,26,24,1,loss,239.687221766,684.769921064,445.082699299,2.85693127911,loss,True
14,12,0.01,a3,28,54,26,1.92857142857,28,28,26,0,tie,152.877186298,405.334539175,252.457352877,2.65137362212,loss,True
