seed,n_trips,b,method,a2_calls,method_calls,calls_diff,calls_ratio,a2_clean_calls,method_clean_calls,method_stab_calls,clean_calls_diff,clean_result_vs_a2,a2_solver_wall_s,method_solver_wall_s,wall_diff_s,wall_ratio,calls_result_vs_a2,both_certified
0,8,0.01,a3,18,34,16,1.88888888889,18,18,16,0,tie,13.0070214272,20.9157423973,7.90872097015,1.60803474604,loss,True
11,8,0.01,a3,16,26,10,1.625,16,14,12,-2,win,9.47176337242,10.6824142933,1.21065092087,1.12781684606,loss,True
15,8,0.01,a3,30,62,32,2.06666666667,30,32,30,2,loss,32.7302496433,37.6598095894,4.92955994606,1.15061174295,loss,True
0,12,0.01,a3,17,18,1,1.05882352941,17,10,8,-7,win,114.19382,85.6615781784,-28.5322418213,0.750141979475,loss,True
11,12,0.01,a3,29,56,27,1.93103448276,29,29,27,0,tie,333.51213932,539.359652519,205.847513199,1.61721145629,loss,True
15,12,0.01,a3,28,40,12,1.42857142857,28,21,19,-7,win,159.795410633,137.282851696,-22.5125589371,0.859116361053,loss,True
0,8,0.05,a3,20,32,12,1.6,20,17,15,-3,win,17.7072184086,21.6391716003,3.93195319176,1.22205369025,loss,True
11,8,0.05,a3,16,26,10,1.625,16,14,12,-2,win,10.3414568901,12.6475665569,2.30610966682,1.22299659432,loss,True
15,8,0.05,a3,28,48,20,1.71428571429,28,25,23,-3,win,24.9246559143,31.1267318726,6.20207595825,1.24883296201,loss,True
0,12,0.05,a3,17,24,7,1.41176470588,17,13,11,-4,win,391.945730925,473.661936045,81.7162051201,1.20848857041,loss,True
11,12,0.05,a3,23,28,5,1.21739130435,23,15,13,-8,win,903.323858976,829.187362194,-74.1364967823,0.917929216586,loss,True
15,12,0.05,a3,29,34,5,1.1724137931,29,18,16,-11,win,255.836724997,243.292073727,-12.5446512699,0.950966182552,loss,True
0,8,0.01,a4,18,20,2,1.11111111111,18,11,9,-7,win,13.0070214272,9.39465761185,-3.61236381531,0.722275861884,loss,True
11,8,0.01,a4,16,12,-4,0.75,16,7,5,-9,win,9.47176337242,4.62008261681,-4.85168075562,0.48777428607,win,True
15,8,0.01,a4,30,42,12,1.4,30,22,20,-8,win,32.7302496433,27.5320427418,-5.19820690155,0.841180346676,loss,True
0,12,0.01,a4,17,26,9,1.52941176471,17,14,12,-3,win,114.19382,128.643865108,14.4500451088,1.12653964206,loss,True
11,12,0.01,a4,29,26,-3,0.896551724138,29,14,12,-15,win,333.51213932,190.162881851,-143.349257469,0.570182789264,win,True
15,12,0.01,a4,28,48,20,1.71428571429,28,25,23,-3,win,159.795410633,182.02508831,22.2296776772,1.13911336746,loss,True
0,8,0.05,a4,20,22,2,1.1,20,12,10,-8,win,17.7072184086,13.7256698608,-3.98154854774,0.775145454477,loss,True
11,8,0.05,a4,16,16,0,1,16,9,7,-7,win,10.3414568901,7.15825486183,-3.18320202827,0.692190175707,tie,True
15,8,0.05,a4,28,38,10,1.35714285714,28,20,18,-8,win,24.9246559143,26.1831512451,1.25849533081,1.05049198413,loss,True
0,12,0.05,a4,17,32,15,1.88235294118,17,17,15,0,tie,391.945730925,599.665616274,207.719885349,1.5299710367,loss,True
11,12,0.05,a4,23,34,11,1.47826086957,23,18,16,-5,win,903.323858976,989.958978891,86.635119915,1.0959070427,loss,True
15,12,0.05,a4,29,50,21,1.72413793103,29,26,24,-3,win,255.836724997,420.715697289,164.878972292,1.64446952365,loss,True
0,8,0.01,a5,18,34,16,1.88888888889,18,18,16,0,tie,13.0070214272,16.6478664875,3.64084506035,1.27991382045,loss,True
11,8,0.01,a5,16,30,14,1.875,16,16,14,0,tie,9.47176337242,12.8322355747,3.3604722023,1.35478844542,loss,True
15,8,0.01,a5,30,62,32,2.06666666667,30,32,30,2,loss,32.7302496433,47.4158861637,14.6856365204,1.44868696941,loss,True
0,12,0.01,a5,17,18,1,1.05882352941,17,10,8,-7,win,114.19382,70.524200201,-43.6696197987,0.617583335081,loss,True
11,12,0.01,a5,29,56,27,1.93103448276,29,29,27,0,tie,333.51213932,525.137414455,191.625275135,1.57456761702,loss,True
15,12,0.01,a5,28,68,40,2.42857142857,28,35,33,7,loss,159.795410633,329.160691023,169.36528039,2.05988826412,loss,True
0,8,0.05,a5,20,32,12,1.6,20,17,15,-3,win,17.7072184086,20.5867695808,2.87955117226,1.16262018719,loss,True
11,8,0.05,a5,16,26,10,1.625,16,14,12,-2,win,10.3414568901,17.3510231972,7.00956630707,1.67781226393,loss,True
15,8,0.05,a5,28,66,38,2.35714285714,28,34,32,6,loss,24.9246559143,51.0048470497,26.0801911354,2.04636113032,loss,True
0,12,0.05,a5,17,16,-1,0.941176470588,17,9,7,-8,win,391.945730925,280.721579552,-111.224151373,0.716225633813,win,True
11,12,0.05,a5,23,22,-1,0.95652173913,23,12,10,-11,win,903.323858976,528.989066124,-374.334792852,0.585602894098,win,True
15,12,0.05,a5,29,34,5,1.1724137931,29,18,16,-11,win,255.836724997,304.137651682,48.3009266853,1.18879590757,loss,True
