experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,energy_cost_model,oracle_tier,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_iter,x_alpha,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length
phase1-loop,taker-iteration,2026-08-14T22:32:50.833973+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3238.532135720349,88.53213572034883,exact-milp/taker,GRB,OPTIMAL,3238.532135720349,3238.5321357203484,1.4041773613134594e-16,3102.0,136.53213572034883,2.9291393756866455,0.04455161094665527,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,0,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:54.033177+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,53c3b6c4fbe1,3,150.0,98.3,3150.0,3241.7564657203484,91.75646572034839,exact-milp/taker,GRB,OPTIMAL,3241.7564657203484,3241.7564657203484,0.0,3101.9999999999995,139.75646572034884,3.0640783309936523,0.04506421089172363,2350,888,2787,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,1,0.5,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:57.102831+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3243.368870720349,93.36887072034915,exact-milp/taker,GRB,OPTIMAL,3243.368870720349,3243.3688707203487,1.4020833553399222e-16,3102.0,141.36887072034915,2.8790318965911865,0.04909014701843262,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,2,0.5,,,,cycle,2
phase1-static,uncontrolled,2026-08-14T22:32:37.006971+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1890e8ca64fe,3,150.0,98.3,3150.0,3270.286472370294,120.28647237029418,policy/uncontrolled-charge-on-arrival,GRB,OPTIMAL,3270.286472370294,3270.286472370294,0.0,3101.999999999999,168.2864723702951,3.623927593231201,0.0480494499206543,2350,888,2787,104.6086671834014,101.3840971834014,3254.6086671834014,3251.3840971834015,98.3,s0_n12_duck_b0.002_a0.5,,,,,,,
phase1-static,taker,2026-08-14T22:32:39.848459+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3238.532135720349,88.53213572034883,exact-milp/taker,GRB,OPTIMAL,3238.532135720349,3238.5321357203484,1.4041773613134594e-16,3101.9999999999995,136.5321357203493,2.6928529739379883,0.04327392578125,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,s0_n12_duck_b0.002_a0.5,,,,,,,
phase1-static,strategic,2026-08-14T22:32:44.089819+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,7b7678bfcd3d,3,150.0,98.3,3150.0,3240.4415841283544,90.4415841283544,exact-milp/strategic-pwl16,GRB,OPTIMAL,3240.4415841283544,3240.4415841283544,0.0,3101.999999999999,138.44158412835532,4.101109266281128,0.04266762733459473,2378,888,3235,95.3792041283545,92.39439412835449,3245.3792041283546,3242.3943941283546,98.30000000000001,s0_n12_duck_b0.002_a0.5,,,,,,,
phase1-static,dictator,2026-08-14T22:32:47.771611+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50873,11,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3239.5281357203485,89.52813572034847,exact-milp/dictator-pwl16,GRB,OPTIMAL,3239.5281357203485,3239.5281357203485,0.0,3101.999999999999,137.52813572034938,3.5450689792633057,0.04026341438293457,2378,888,3235,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,s0_n12_duck_b0.002_a0.5,,,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:50.038411+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3238.532135720349,88.53213572034883,exact-milp/taker,GRB,OPTIMAL,3238.532135720349,3238.5321357203484,1.4041773613134594e-16,3101.9999999999995,136.5321357203493,2.780838966369629,0.04379582405090332,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,0,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:53.489295+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,53c3b6c4fbe1,3,150.0,98.3,3150.0,3244.9807957203484,94.9807957203484,exact-milp/taker,GRB,OPTIMAL,3244.9807957203484,3244.9807957203484,0.0,3101.9999999999995,142.98079572034885,3.312455892562866,0.04416966438293457,2350,888,2787,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,1,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:32:56.275585+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50872,10,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3244.9807957203484,94.9807957203484,exact-milp/taker,GRB,OPTIMAL,3244.9807957203484,3244.9807957203484,0.0,3101.9999999999995,142.98079572034885,2.5911152362823486,0.0491337776184082,2350,888,2787,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,2,1.0,,,,cycle,2
