experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,obj_true,energy_cost_model,oracle_tier,replay_ok,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,adaptive_rounds,adaptive_lb,adaptive_ub,adaptive_gap_abs,adaptive_converged,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_cell,x_seed,x_shape,x_b_scale,x_alpha,x_tol_price,x_iter,x_price_residual,x_load_residual,x_schedule_recurred,x_response_recurred,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length,n_replay_violations,replay_original_ok,replay_effective_ok,replay_revalidation_status,replay_policy_version,replay_tolerance_kwh
phase1-loop,taker-iteration,2026-08-15T01:32:41.568151+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3238.532135720349,3238.532135720349,88.53213572034883,exact-milp/taker,True,GRB,OPTIMAL,3238.532135720349,3238.5321357203484,1.4041773613134594e-16,3101.9999999999995,136.5321357203493,2.896902084350586,0.03930473327636719,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,0,0.006859999999999977,,False,False,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:32:44.492505+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3239.177001720349,3239.177001720349,89.17700172034893,exact-milp/taker,True,GRB,OPTIMAL,3239.177001720349,3239.177001720349,0.0,3101.9999999999995,137.17700172034938,2.8046462535858154,0.04197978973388672,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,1,0.006174000000000013,0.6000000000000014,False,False,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:32:48.261106+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3239.7574291203487,3239.7574291203487,89.75742912034866,exact-milp/taker,True,GRB,OPTIMAL,3239.7574291203487,3239.7574291203487,0.0,3101.9999999999995,137.75742912034912,3.6282451152801514,0.0380098819732666,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,2,0.005556600000000023,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:32:51.984935+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3240.279800340349,3240.279800340349,90.27980034034908,exact-milp/taker,True,GRB,OPTIMAL,3240.279800340349,3240.279800340349,0.0,3101.9999999999995,138.27980034034954,3.600238800048828,0.043901681900024414,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,3,0.005000939999999954,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:32:55.689845+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3240.749911974349,3240.749911974349,90.74991197434883,exact-milp/taker,True,GRB,OPTIMAL,3240.749911974349,3240.749911974349,0.0,3101.9999999999995,138.7499119743493,3.5809860229492188,0.04479789733886719,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,4,0.004500846000000003,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:32:58.935961+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3241.1730483489487,3241.1730483489487,91.17304834894867,exact-milp/taker,True,GRB,OPTIMAL,3241.1730483489487,3241.1730483489487,0.0,3101.9999999999995,139.17304834894912,3.122990131378174,0.03807353973388672,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,5,0.004050761400000047,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:02.575447+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3241.5538478483286,3241.5538478483286,91.55384784832859,exact-milp/taker,True,GRB,OPTIMAL,3241.5538478483286,3241.5538478483286,0.0,3102.0,139.5538478483286,3.520327568054199,0.03860330581665039,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,6,0.0036456852599999756,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:06.179614+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3241.8965635495147,3241.8965635495147,91.89656354951467,exact-milp/taker,True,GRB,OPTIMAL,3241.8965635495147,3241.8965635495147,0.0,3101.9999999999995,139.89656354951512,3.4830150604248047,0.03959155082702637,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,7,0.0032811167340000003,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:09.364970+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3242.205034766598,3242.205034766598,92.20503476659815,exact-milp/taker,True,GRB,OPTIMAL,3242.205034766598,3242.205034766598,0.0,3101.9999999999995,140.2050347665986,3.0489864349365234,0.043439388275146484,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,8,0.0029530050606000335,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:12.670246+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3242.4826284816463,3242.4826284816463,92.48262848164632,exact-milp/taker,True,GRB,OPTIMAL,3242.4826284816463,3242.482628481646,1.4024665757404786e-16,3101.9999999999995,140.48262848164677,3.182715892791748,0.04152083396911621,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,9,0.0026577045545399525,0.6000000000000014,True,True,,,,,,0,True,True,,,
